id;date;start_time;end_time;status
1;2025-03-02;2025-03-03T00:21:14;2025-03-02T11:30:12;CANCELLED
2;2025-03-02;2025-03-02T19:07:20;2025-03-02T15:26:20;COMPLETED
3;2025-03-02;2025-03-02T09:28:33;2025-03-03T02:28:56;COMPLETED
4;2025-03-02;2025-03-02T07:51:15;2025-03-02T22:35:00;COMPLETED
5;2025-03-02;2025-03-03T00:14:46;2025-03-03T06:31:04;CANCELLED
6;2025-03-03;2025-03-02T15:26:33;2025-03-02T09:08:39;CANCELLED
7;2025-03-02;2025-03-03T01:48:01;2025-03-02T16:30:51;COMPLETED
8;2025-03-02;2025-03-02T19:19:05;2025-03-02T21:17:13;CANCELLED
9;2025-03-02;2025-03-02T12:55:04;2025-03-02T07:05:22;CANCELLED
10;2025-03-03;2025-03-02T11:09:59;2025-03-02T10:08:06;BOOKED
