id;name;type;address;contact_info
1;gracefully powerfully yuck;CLINIC;provided once knitting;inherit
2;lottery;SPA;quickly after aside;plaster mattock bellow
3;incidentally astride;SPA;safely;ah
4;toward;CLINIC;lest paramecium adventurously;like
5;beyond;GYM;united ugh regularly;whoever yippee mid
6;near unless;GYM;yippee next;plant circa
7;even;GYM;furthermore where;remorseful eek
8;inasmuch obfuscate;SPA;energetically;reckon
9;abaft;CLINIC;rainstorm;superintend greedily recur
10;bah;GYM;intentional amongst;coaxingly
