id;day_of_week;start_time;end_time
1;FRIDAY;2025-03-02T17:25:11;2025-03-02T13:36:14
2;FRIDAY;2025-03-02T12:15:10;2025-03-02T13:21:10
3;TUESDAY;2025-03-03T05:11:59;2025-03-03T06:43:30
4;WEDNESDAY;2025-03-02T11:28:31;2025-03-02T22:48:25
5;TUESDAY;2025-03-02T13:51:45;2025-03-02T12:55:54
6;FRIDAY;2025-03-02T09:32:05;2025-03-02T10:17:33
7;SATURDAY;2025-03-02T18:25:33;2025-03-02T13:54:11
8;FRIDAY;2025-03-03T02:07:48;2025-03-02T08:53:13
9;FRIDAY;2025-03-03T01:42:20;2025-03-02T17:05:29
10;SATURDAY;2025-03-02T18:46:36;2025-03-03T03:53:59
